# t,x,y,z,vx,vy,vz,ax,ay,az
1.540000,-8.030487,-8.616821,2.718061,-0.184554,1.538974,0.000000,-0.238541,-0.028606,0.000000
1.550000,-8.032344,-8.601433,2.718061,-0.188145,1.548613,0.000000,-0.241584,-0.029351,0.000000
1.560000,-8.034238,-8.585948,2.718061,-0.191782,1.558242,0.000000,-0.244644,-0.030110,0.000000
1.570000,-8.036168,-8.570367,2.718061,-0.195465,1.567863,0.000000,-0.247722,-0.030884,0.000000
1.580000,-8.038135,-8.554690,2.718061,-0.199195,1.577473,0.000000,-0.250818,-0.031672,0.000000
1.590000,-8.040139,-8.538917,2.718061,-0.202972,1.587074,0.000000,-0.253932,-0.032475,0.000000
1.600000,-8.042182,-8.523048,2.718061,-0.206795,1.596664,0.000000,-0.257063,-0.033294,0.000000
1.610000,-8.044263,-8.507083,2.718061,-0.210666,1.606244,0.000000,-0.260212,-0.034128,0.000000
1.620000,-8.046382,-8.491022,2.718061,-0.214584,1.615814,0.000000,-0.263378,-0.034977,0.000000
1.630000,-8.048541,-8.474866,2.718061,-0.218550,1.625372,0.000000,-0.266561,-0.035842,0.000000
1.640000,-8.050740,-8.458614,2.718061,-0.222564,1.634921,0.000000,-0.269762,-0.036723,0.000000
1.650000,-8.052979,-8.442267,2.718061,-0.226627,1.644457,0.000000,-0.272980,-0.037620,0.000000
1.660000,-8.055259,-8.425824,2.718061,-0.230738,1.653983,0.000000,-0.276215,-0.038533,0.000000
1.670000,-8.057580,-8.409286,2.718061,-0.234898,1.663497,0.000000,-0.279468,-0.039463,0.000000
1.680000,-8.059943,-8.392653,2.718061,-0.239107,1.673000,0.000000,-0.282737,-0.040409,0.000000
1.690000,-8.062348,-8.375925,2.718061,-0.243366,1.682490,0.000000,-0.286023,-0.041372,0.000000
1.700000,-8.064796,-8.359102,2.718061,-0.247674,1.691969,0.000000,-0.289327,-0.042352,0.000000
1.710000,-8.067288,-8.342185,2.718061,-0.252032,1.701435,0.000000,-0.292647,-0.043350,0.000000
1.720000,-8.069823,-8.325172,2.718061,-0.256441,1.710888,0.000000,-0.295984,-0.044364,0.000000
1.730000,-8.072402,-8.308066,2.718061,-0.260900,1.720329,0.000000,-0.299337,-0.045397,0.000000
1.740000,-8.075026,-8.290865,2.718061,-0.265409,1.729757,0.000000,-0.302707,-0.046447,0.000000
1.750000,-8.077695,-8.273570,2.718061,-0.269970,1.739171,0.000000,-0.306094,-0.047515,0.000000
