# t,x,y,z,vx,vy,vz,ax,ay,az
0.700000,-21.564397,4.739485,1.002486,-0.070545,1.418247,0.000000,-0.201391,-0.010017,0.000000
0.710000,-21.565113,4.753667,1.002486,-0.073581,1.438119,0.000000,-0.207089,-0.010596,0.000000
0.720000,-21.565859,4.768048,1.002486,-0.076702,1.457984,0.000000,-0.212866,-0.011199,0.000000
0.730000,-21.566637,4.782627,1.002486,-0.079911,1.477841,0.000000,-0.218720,-0.011827,0.000000
0.740000,-21.567447,4.797405,1.002486,-0.083207,1.497690,0.000000,-0.224654,-0.012481,0.000000
0.750000,-21.568290,4.812381,1.002486,-0.086593,1.517531,0.000000,-0.230665,-0.013162,0.000000
0.760000,-21.569168,4.827556,1.002486,-0.090069,1.537364,0.000000,-0.236754,-0.013871,0.000000
0.770000,-21.570080,4.842929,1.002486,-0.093637,1.557187,0.000000,-0.242921,-0.014607,0.000000
0.780000,-21.571029,4.858500,1.002486,-0.097298,1.577001,0.000000,-0.249166,-0.015373,0.000000
0.790000,-21.572014,4.874269,1.002486,-0.101053,1.596806,0.000000,-0.255489,-0.016168,0.000000
0.800000,-21.573037,4.890237,1.002486,-0.104903,1.616600,0.000000,-0.261889,-0.016994,0.000000
0.810000,-21.574100,4.906402,1.002486,-0.108849,1.636384,0.000000,-0.268367,-0.017851,0.000000
0.820000,-21.575201,4.922765,1.002486,-0.112892,1.656157,0.000000,-0.274922,-0.018740,0.000000
0.830000,-21.576344,4.939325,1.002486,-0.117035,1.675919,0.000000,-0.281554,-0.019662,0.000000
0.840000,-21.577529,4.956083,1.002486,-0.121277,1.695669,0.000000,-0.288264,-0.020617,0.000000
0.850000,-21.578756,4.973039,1.002486,-0.125620,1.715407,0.000000,-0.295050,-0.021607,0.000000
0.860000,-21.580027,4.990192,1.002486,-0.130065,1.735132,0.000000,-0.301913,-0.022631,0.000000
0.870000,-21.581342,5.007542,1.002486,-0.134614,1.754844,0.000000,-0.308853,-0.023692,0.000000
0.880000,-21.582704,5.025089,1.002486,-0.139267,1.774544,0.000000,-0.315869,-0.024790,0.000000
0.890000,-21.584112,5.042834,1.002486,-0.144026,1.794229,0.000000,-0.322961,-0.025925,0.000000
0.900000,-21.585569,5.060775,1.002486,-0.148891,1.813899,0.000000,-0.330130,-0.027098,0.000000
0.910000,-21.587074,5.078912,1.002486,-0.153865,1.833555,0.000000,-0.337374,-0.028311,0.000000
0.920000,-21.588630,5.097246,1.002486,-0.158948,1.853196,0.000000,-0.344694,-0.029564,0.000000
0.930000,-21.590237,5.115777,1.002486,-0.164140,1.872821,0.000000,-0.352090,-0.030858,0.000000
0.940000,-21.591896,5.134504,1.002486,-0.169445,1.892429,0.000000,-0.359562,-0.032194,0.000000
0.950000,-21.593608,5.153426,1.002486,-0.174861,1.912021,0.000000,-0.367108,-0.033573,0.000000
0.960000,-21.595375,5.172545,1.002486,-0.180392,1.931595,0.000000,-0.374729,-0.034996,0.000000
0.970000,-21.597198,5.191859,1.002486,-0.186037,1.951151,0.000000,-0.382426,-0.036463,0.000000
0.980000,-21.599077,5.211369,1.002486,-0.191798,1.970689,0.000000,-0.390196,-0.037976,0.000000
0.990000,-21.601015,5.231074,1.002486,-0.197677,1.990207,0.000000,-0.398041,-0.039535,0.000000
1.000000,-21.603011,5.250974,1.002486,-0.203673,2.009706,0.000000,-0.405961,-0.041142,0.000000
1.010000,-21.605068,5.271069,1.002486,-0.209789,2.029184,0.000000,-0.413954,-0.042797,0.000000
1.020000,-21.607187,5.291358,1.002486,-0.216026,2.048642,0.000000,-0.422020,-0.044501,0.000000
1.030000,-21.609368,5.311842,1.002486,-0.222384,2.068078,0.000000,-0.430160,-0.046256,0.000000
1.040000,-21.611614,5.332521,1.002486,-0.228865,2.087492,0.000000,-0.438373,-0.048062,0.000000
1.050000,-21.613924,5.353393,1.002486,-0.235469,2.106883,0.000000,-0.446659,-0.049919,0.000000
1.060000,-21.616301,5.374460,1.002486,-0.242199,2.126250,0.000000,-0.455018,-0.051831,0.000000
1.070000,-21.618746,5.395720,1.002486,-0.249054,2.145594,0.000000,-0.463448,-0.053796,0.000000
1.080000,-21.621260,5.417173,1.002486,-0.256037,2.164912,0.000000,-0.471951,-0.055816,0.000000
1.090000,-21.623844,5.438819,1.002486,-0.263148,2.184205,0.000000,-0.480525,-0.057893,0.000000
1.100000,-21.626499,5.460658,1.002486,-0.270389,2.203472,0.000000,-0.489171,-0.060026,0.000000
1.110000,-21.629227,5.482690,1.002486,-0.277760,2.222712,0.000000,-0.497888,-0.062218,0.000000
1.120000,-21.632030,5.504914,1.002486,-0.285263,2.241924,0.000000,-0.506675,-0.064469,0.000000
1.130000,-21.634908,5.527330,1.002486,-0.292898,2.261108,0.000000,-0.515533,-0.066781,0.000000
1.140000,-21.637863,5.549938,1.002486,-0.300667,2.280263,0.000000,-0.524460,-0.069153,0.000000
1.150000,-21.640896,5.572737,1.002486,-0.308571,2.299388,0.000000,-0.533458,-0.071588,0.000000
1.160000,-21.644008,5.595727,1.002486,-0.316611,2.318482,0.000000,-0.542525,-0.074087,0.000000
1.170000,-21.647201,5.618908,1.002486,-0.324788,2.337544,0.000000,-0.551660,-0.076650,0.000000
1.180000,-21.650477,5.642280,1.002486,-0.333102,2.356574,0.000000,-0.560865,-0.079278,0.000000
1.190000,-21.653836,5.665842,1.002486,-0.341556,2.375571,0.000000,-0.570137,-0.081974,0.000000
1.200000,-21.657280,5.689593,1.002486,-0.350151,2.394534,0.000000,-0.579477,-0.084736,0.000000
1.210000,-21.660810,5.713534,1.002486,-0.358886,2.413462,0.000000,-0.588885,-0.087568,0.000000
